"company_overseas_infrastructure_id","company_id","infrastructure_type_id","secondary_infrastructure_type_id","country_id","city","overseas_infrastructure_lat","overseas_infrastructure_lng","label","year_commenced","Primary topic","Secondary (if needed)","text","cable_id","highlight","(data centre) type","street address","source","year","type_of_company_id_ref","ownership_structure_id_ref","cable_countries","Third topic","","","Do Not Touch - For Country Counts","Infrastructure 1","Infrastructure 2","Topic 1","Topic 2","Topic 3","Company","","Cable","Terrestrial","Leased"
"1935","1 | Huawei","8 | Data centre","","243 | South Africa","","33.92490","18.42410","Cape Town Data Centre","2019","","","<p>China’s Huawei will build two data centers in South Africa from March, it said, as part of plans to expand cloud services across Africa. “The company is working with South African partners for the construction of the data centers in Johannesburg initially and later Cape Town,” Huawei said in a statement. <a href""https://www.reuters.com/article/us-huawei-safrica/huawei-to-build-data-centers-in-south-africa-idUSKCN1Q3187>Source</a></p>","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","8 | Data centre243 | South Africa","243 | South Africa","243 | South Africa","243 | South Africa","243 | South Africa","1 | Huawei243 | South Africa","","","",""
"1937","7 | China Unicom","13 | Cable Terrestrial","","","","","","","","","","ERA (Euro Russia Asia) link is listed as part of China Mobile's ""Global Network Capabilities"" <a href = ""https://web.archive.org/web/20190626232927/https://www.cmi.chinamobile.com/sites/default/files/inline-images/ENG%20MAP.jpg"">Source</a>; Listed as part of China Unicom's Europe to Asia Terrestrial Cable Systems <a href = ""http://web.archive.org/web/20190716032029/https://www.slideshare.net/AbhijitDatey/china-unicom-global-profile"">(slide 10)</a>

<p>Owner data from <a href = "" https://www.submarinenetworks.com/en/systems/asia-europe-africa/tea/tea-cable-network"">here</a></p>","euro-russia-asia-era","FALSE","","","","","1 | Telecommunications","1 | State-owned enterprise","China,Russia,Finland,Sweden,United Kingdom","","","","","13 | Cable Terrestrial","","","","","7 | China Unicom","","","euro-russia-asia-era",""
"1974","1 | Huawei","10 | Subsidiary","18 | Surveillance equipment","188 | Russia","Moscow","55.78894","37.49747","Eagle Softlab (Игл Софтлаб)/Vocord ","2019","6 | Surveillance","","<p>In May 2019 Huawei <a href=""https://www.ewdn.com/2019/06/10/huawei-acquires-russian-face-recognition-technology/"">acquired</a> Eagle Softlab, a Russian company founded in 2018 and linked to surveillance company Vocord, which makes cameras and facial recognition technology. This acquisition includes the hiring of staff and&nbsp;the patents and equipment related to Vocord&rsquo;s video surveillance and face recognition technology. These staff and technologies will reportedly <a href=""https://web.archive.org/web/20190630075629/https://russiabusinesstoday.com/technology/huawei-buys-russian-facial-recognition-company-for-50mn/"" target=""_blank"">be transferred to Igl Softlab</a>&nbsp;- a new firm set up by Huawei&rsquo;s Russian subsidiary and Huawei Digital Technologies. Huawei's acquisition of this Russian company came one day ahead of Chinese president Xi Jinping&rsquo;s 2019&nbsp;<a href=""https://web.archive.org/web/20190630075629/https://www.cnbc.com/2019/05/31/trumps-escalating-trade-war-gives-heat-to-putin-and-xis-growing-bromance.html"">state visit</a>&nbsp;to Russia. Launched&nbsp;in 1999,&nbsp;Vocord's clients <a href=""https://web.archive.org/web/20191112072601/https://investforesight.com/huawei-might-acquire-russias-vocord-software-developer/"" target=""_blank"">are reported to include</a> the Russian Ministry of the Interior, the Federal Security Service, as well as banks and mobile network operators. More detail on the growing technology relationship between Russia and China can be <a href=""https://www.aspi.org.au/report/new-sino-russian-high-tech-partnership"" target=""_blank"">found here</a>.&nbsp;</p>","","TRUE","","","","","1 | Telecommunications","6 | Private company","","","","","","10 | Subsidiary188 | Russia","18 | Surveillance equipment188 | Russia","6 | Surveillance188 | Russia","188 | Russia","188 | Russia","1 | Huawei188 | Russia","","","",""
"192","1 | Huawei","1 | R&D lab","","188 | Russia","Moscow","55.75625","37.60374","OpenLab","2018","","","<p><a href=""https://e.huawei.com/en/partner/openlab/moscow"">Source</a></p>","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","1 | R&D lab188 | Russia","188 | Russia","188 | Russia","188 | Russia","188 | Russia","1 | Huawei188 | Russia","","","",""
"196","1 | Huawei","1 | R&D lab","","103 | India","Delhi","28.59583","77.19717","OpenLab","2018","","","<p><a href=""https://e.huawei.com/en/partner/openlab/Delhi"">Source</a></p>","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","1 | R&D lab103 | India","103 | India","103 | India","103 | India","103 | India","1 | Huawei103 | India","","","",""
"216","1 | Huawei","1 | R&D lab","","72 | France","Grenoble","45.18913","5.71982","Sensor and Software R&D Centre","2018","","","<p>Huawei's fifth research centre in France. <a href=""http://www.xinhuanet.com/fortune/2018-11/29/c_1123783856.htm"">Source</a></p>","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","1 | R&D lab72 | France","72 | France","72 | France","72 | France","72 | France","1 | Huawei72 | France","","","",""
"262","1 | Huawei","1 | R&D lab","","54 | Germany","Duisburg","51.43319","6.75608","[Planned] Joint Innovation Center","2018","2 | Smart cities","","<p>Huawei also announced plans to build a Joint Innovation Center in Duisburg during an MoU signing for Duisburg smart city. <a href=""http://web.archive.org/web/20191016005153/https://www.huawei.com/en/press-events/news/2018/1/Duisburg-Germany-and-Huawei-sign-MoU-to-Build-a-Smart-City"">Source</a></p>","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","1 | R&D lab54 | Germany","54 | Germany","2 | Smart cities54 | Germany","54 | Germany","54 | Germany","1 | Huawei54 | Germany","","","",""
"345","1 | Huawei","15 | Telecommunications or ICT","","173 | Papua New Guinea","","-9.61115","147.05587","National Broadband Network","2018","5 | Chinese state loan","","<p>In November 2018 the PNG Government confirmed it will uphold its agreement with Huawei to build its national broadband network. Funded by a USD 200 million China Exim Bank loan, and in the works since 2013, the project includes a network of submarine cables linking 14 coastal towns. The US, Japan and Australia put in a very late <a href=""https://www.reuters.com/article/us-pacific-debt-huawei-tech/u-s-to-counter-chinese-internet-bid-in-papua-new-guinea-diplomat-idUSKCN1M800X"" target=""_blank"">counteroffer</a> in 2018 to give the PNG Government an alternative to Huawei (but it was <a href=""https://www.aspistrategist.org.au/australia-and-huawei-in-png-more-than-too-little-too-late-diplomacy/"">too little, too late...</a>).</p>","","TRUE","","","","","1 | Telecommunications","6 | Private company","","","","","","15 | Telecommunications or ICT173 | Papua New Guinea","173 | Papua New Guinea","5 | Chinese state loan173 | Papua New Guinea","173 | Papua New Guinea","173 | Papua New Guinea","1 | Huawei173 | Papua New Guinea","","","",""
"349","","","","","","","","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","",""
"350","1 | Huawei","12 | 5G relationship","17 | MoU-agreement","150 | Malta","","35.89506","14.50426","5G MoU","2018","3 | 5G","","<p>In July 2018 the government of Malta and Huawei <a href=""http://www.xinhuanet.com/english/2018-07/14/c_137324156.htm"">signed</a> an MoU on 5G infrastructure. Chinese state media <a href=""https://web.archive.org/web/20181017170231/http://www.xinhuanet.com/english/2018-07/14/c_137324156.htm"" target=""_blank"">reported</a> that this MoU came two years after Malta and Huawei signed another MoU that resulted in Huawei testing its 5G Internet connectivity in Malta. Media in Malta <a href=""https://www.independent.com.mt/articles/2018-07-14/local-news/Huawei-to-start-trials-of-5G-Malta-in-October-6736193435"" target=""_blank"">reported</a>&nbsp;Huawei 5G trials could start in October 2018. Media in Malta has also <a href=""https://timesofmalta.com/articles/view/us-concerned-over-malta-link-to-huawei.700936"" target=""_blank"">reported that</a> 'the government&nbsp;<a href=""https://www.timesofmalta.com/articles/view/20160416/local/second-mou-signed-between-malta-and-huawei.609016"" target=""_self"" rel=""follow"">has signed two Memorandums of Understanding with Huawei</a>&nbsp;but there has been little by way of public announcements about the collaboration..No further details were given and the government has failed to answer questions on what this collaboration involves. The MOUs between the government and Huawei were never made public'.</p>
<p>Separately, the government of Malta also works with Huawei in <a href=""https://chinatechmap.aspi.org.au/#/map/marker-273"" target=""_blank"">the deployment of smart city technologies</a>.</p>","","TRUE","","","","","1 | Telecommunications","6 | Private company","","","","","","12 | 5G relationship150 | Malta","17 | MoU-agreement150 | Malta","3 | 5G150 | Malta","150 | Malta","150 | Malta","1 | Huawei150 | Malta","","","",""
"351","1 | Huawei","11 | Smart City-Public Security project","17 | MoU-agreement","54 | Germany","Duisburg","51.43000","6.76000","Smart City MOU","2018","2 | Smart cities","6 | Surveillance","<p>The mayor of Duisburg, Germany signed an MoU with Huawei to work together on smart city development. <a href=""http://web.archive.org/web/20191016005153/https://www.huawei.com/en/press-events/news/2018/1/Duisburg-Germany-and-Huawei-sign-MoU-to-Build-a-Smart-City"">Source</a></p>","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","11 | Smart City-Public Security project54 | Germany","17 | MoU-agreement54 | Germany","2 | Smart cities54 | Germany","6 | Surveillance54 | Germany","54 | Germany","1 | Huawei54 | Germany","","","",""
